Reservation-id,Reservation_Status
62931593,3
70586099,1
4230648,2
25192322,2
80931528,2
64700386,2
16938050,3
90487908,3
5595445,3
17502557,1
92229895,1
27386334,1
76765181,2
40697301,3
63963888,1
27282946,2
8696141,1
52621292,2
21821230,1
12316731,3
93926052,1
5935873,1
56971851,2
72701445,3
27017349,3
60891446,2
27044174,3
88238517,1
61900789,2
64883577,2
55378041,2
53798465,2
60781799,1
94752419,1
60425470,3
96410589,1
41224708,2
74972878,2
50824748,1
94524482,3
32635033,3
92183172,2
28323092,3
86372652,2
19585428,2
42025914,2
85872241,3
16826564,1
80812644,3
64063500,3
39990516,2
71506176,1
70061836,2
25308221,3
75655661,1
41754532,3
87457897,1
33332229,2
43160739,1
76748822,2
35120015,3
40281701,2
27470890,1
18603967,2
65425620,2
42460243,2
2260132,1
20252884,1
15834405,1
90882609,2
76274266,3
13465422,3
4154680,1
4039529,3
6464114,3
21522961,1
25365627,1
22773391,1
14737797,1
39495485,2
69167054,2
46999433,2
23730056,2
65593958,1
1794817,2
568595,1
25540175,3
84281735,3
43117940,2
61747940,1
83033730,2
50132508,2
91149643,2
22294408,2
83629935,2
90562901,3
23362123,1
25574994,1
96601070,2
9849013,1
61268622,2
71369022,3
56819796,3
44480838,2
46997829,3
19493041,3
44705080,2
68317504,2
99142742,3
10932581,3
34186149,3
14986967,3
75352672,2
73587761,1
24225853,3
31053495,2
7544562,3
84009718,2
12848784,2
22206000,2
71645476,3
63933616,2
98523961,2
48949293,2
54039707,2
74268516,2
61747586,3
73468379,2
11357536,3
57315445,3
98107193,3
36317156,2
87140045,2
3858417,3
3484037,2
22152722,2
57476767,3
76342541,2
45672997,1
56546990,1
95346355,1
33870599,2
48651179,1
66744667,3
33429510,3
29185964,3
22782756,3
93139781,1
40786744,3
6137983,2
44476577,1
451424,2
36633039,1
59841829,2
86808792,2
44607177,3
94259414,1
93524061,1
40513594,2
97015202,1
94354381,3
49608182,1
12910803,1
7510007,2
81843718,2
2368054,2
38850660,1
86780562,3
80159546,2
31891030,1
65616811,3
50402056,1
60253225,3
58193137,3
10638256,3
89721533,2
39259056,1
81117513,3
